T,J=1/2,J=1,J=3/2,J=2,J=5/2,J=3,J=7/2,J=4,J=9/2,J=inf
0.001,1,1,1,1,1,1,1,1,1,0.99994743
0.002,1,1,1,1,1,1,1,1,1,0.999712069
0.003,1,1,1,1,1,1,1,1,1,0.999416565
0.004,1,1,1,1,1,1,1,1,1,0.999102329
0.005,1,1,1,1,1,1,1,1,1,0.998780035
0.006,1,1,1,1,1,1,1,1,1,0.99845351
0.007,1,1,1,1,1,1,1,1,1,0.998124441
0.008,1,1,1,1,1,1,1,1,1,0.997793687
0.009,1,1,1,1,1,1,1,1,1,0.997461729
0.01,1,1,1,1,1,1,1,1,1,0.997128859
0.011,1,1,1,1,1,1,1,1,1,0.996795262
0.012,1,1,1,1,1,1,1,1,1,0.996461062
0.013,1,1,1,1,1,1,1,1,1,0.996126345
0.014,1,1,1,1,1,1,1,1,1,0.995791172
0.015,1,1,1,1,1,1,1,1,1,0.995455588
0.016,1,1,1,1,1,1,1,1,1,0.995119626
0.017,1,1,1,1,1,1,1,1,1,0.994783313
0.018,1,1,1,1,1,1,1,1,1,0.994446668
0.019,1,1,1,1,1,1,1,1,1,0.994109707
0.02,1,1,1,1,1,1,1,1,1,0.993772442
0.021,1,1,1,1,1,1,1,1,1,0.993434883
0.022,1,1,1,1,1,1,1,1,1,0.993097038
0.023,1,1,1,1,1,1,1,1,1,0.992758914
0.024,1,1,1,1,1,1,1,1,1,0.992420515
0.025,1,1,1,1,1,1,1,1,1,0.992081847
0.026,1,1,1,1,1,1,1,1,1,0.991742913
0.027,1,1,1,1,1,1,1,1,1,0.991403716
0.028,1,1,1,1,1,1,1,1,1,0.991064259
0.029,1,1,1,1,1,1,1,1,1,0.990724543
0.03,1,1,1,1,1,1,1,1,1,0.990384572
0.031,1,1,1,1,1,1,1,1,1,0.990044344
0.032,1,1,1,1,1,1,1,1,0.999999987,0.989703864
0.033,1,1,1,1,1,1,1,1,0.999999987,0.989363132
0.034,1,1,1,1,1,1,1,1,0.999999974,0.989022146
0.035,1,1,1,1,1,1,1,0.999999985,0.99999996,0.988680911
0.036,1,1,1,1,1,1,1,0.999999985,0.999999947,0.988339426
0.037,1,1,1,1,1,1,1,0.99999997,0.999999907,0.987997689
0.038,1,1,1,1,1,1,1,0.99999997,0.999999868,0.987655703
0.039,1,1,1,1,1,1,0.999999983,0.999999955,0.999999815,0.987313467
0.04,1,1,1,1,1,1,0.999999983,0.999999925,0.999999735,0.986970981
0.041,1,1,1,1,1,1,0.999999983,0.999999896,0.999999629,0.986628248
0.042,1,1,1,1,1,1,0.999999966,0.999999851,0.999999497,0.986285265
0.043,1,1,1,1,1,1,0.999999949,0.999999776,0.999999311,0.985942032
0.044,1,1,1,1,1,0.99999998,0.999999932,0.999999702,0.999999086,0.98559855
0.045,1,1,1,1,1,0.99999998,0.999999898,0.999999598,0.999998795,0.98525482
0.046,1,1,1,1,1,0.99999998,0.999999847,0.999999464,0.999998424,0.98491084
0.047,1,1,1,1,1,0.99999996,0.999999796,0.999999285,0.999997973,0.984566609
0.048,1,1,1,1,1,0.99999994,0.999999728,0.999999061,0.999997417,0.98422213
0.049,1,1,1,1,1,0.999999921,0.999999642,0.999998793,0.999996741,0.9838774
0.05,1,1,1,1,0.999999976,0.999999901,0.99999954,0.999998465,0.999995933,0.983532421
0.051,1,1,1,1,0.999999976,0.999999861,0.999999404,0.999998063,0.999994966,0.983187189
0.052,1,1,1,1,0.999999976,0.999999821,0.999999234,0.999997556,0.999993814,0.982841708
0.053,1,1,1,1,0.999999952,0.999999762,0.999999012,0.999996975,0.999992463,0.982495976
0.054,1,1,1,1,0.999999952,0.999999682,0.999998757,0.99999626,0.999990873,0.982149991
0.055,1,1,1,1,0.999999928,0.999999603,0.99999845,0.999995425,0.999989045,0.981803755
0.056,1,1,1,1,0.999999905,0.999999483,0.999998076,0.999994442,0.999986912,0.981457266
0.057,1,1,1,1,0.999999881,0.999999364,0.999997616,0.999993294,0.999984474,0.981110525
0.058,1,1,1,0.99999997,0.999999857,0.999999185,0.999997088,0.999991953,0.999981692,0.980763532
0.059,1,1,1,0.99999997,0.999999809,0.999998987,0.999996458,0.999990418,0.999978525,0.980416284
0.06,1,1,1,0.99999997,0.999999762,0.999998748,0.999995725,0.999988644,0.999974947,0.980068782
0.061,1,1,1,0.99999997,0.99999969,0.99999847,0.999994874,0.999986632,0.999970919,0.979721028
0.062,1,1,1,0.99999994,0.999999595,0.999998132,0.999993886,0.999984322,0.999966413,0.979373017
0.063,1,1,1,0.99999994,0.999999499,0.999997755,0.999992745,0.999981728,0.999961377,0.979024752
0.064,1,1,1,0.999999911,0.99999938,0.999997278,0.99999145,0.999978791,0.99995577,0.97867623
0.065,1,1,1,0.999999911,0.999999261,0.999996741,0.999989968,0.999975497,0.99994958,0.978327453
0.066,1,1,1,0.999999881,0.999999094,0.999996126,0.999988265,0.999971815,0.999942739,0.977978421
0.067,1,1,1,0.999999821,0.999998879,0.99999541,0.999986357,0.999967715,0.999935209,0.977629128
0.068,1,1,1,0.999999791,0.999998665,0.999994596,0.999984211,0.999963182,0.999926961,0.977279582
0.069,1,1,1,0.999999732,0.999998379,0.999993662,0.999981809,0.999958157,0.999917957,0.976929775
0.07,1,1,0.99999996,0.999999702,0.999998069,0.999992589,0.999979117,0.99995261,0.99990813,0.976579711
0.071,1,1,0.99999996,0.999999613,0.999997711,0.999991376,0.999976119,0.999946525,0.999897465,0.976229387
0.072,1,1,0.99999996,0.999999523,0.999997306,0.999990025,0.999972779,0.999939859,0.999885898,0.975878805
0.073,1,1,0.99999996,0.999999434,0.999996829,0.999988495,0.999969099,0.99993258,0.999873413,0.975527962
0.074,1,1,0.999999921,0.999999315,0.999996281,0.999986786,0.999965044,0.999924658,0.999859944,0.975176856
0.075,1,1,0.999999921,0.999999195,0.999995637,0.999984858,0.999960579,0.99991605,0.99984545,0.974825492
0.076,1,1,0.999999921,0.999999046,0.999994945,0.999982732,0.999955688,0.999906725,0.999829906,0.974473866
0.077,1,1,0.999999881,0.999998867,0.999994135,0.999980366,0.999950336,0.999896637,0.999813257,0.974121978
0.078,1,1,0.999999881,0.999998659,0.999993252,0.999977763,0.99994449,0.999885772,0.999795462,0.973769828
0.079,1,1,0.999999841,0.99999842,0.999992227,0.999974881,0.999938149,0.999874069,0.999776482,0.973417411
0.08,1,1,0.999999801,0.999998122,0.999991106,0.99997172,0.999931262,0.999861514,0.999756289,0.973064735
0.081,1,1,0.999999762,0.999997824,0.999989842,0.999968241,0.999923812,0.999848046,0.999734816,0.972711791
0.082,1,1,0.999999722,0.999997467,0.999988459,0.999964444,0.999915764,0.999833665,0.999712062,0.972358585
0.083,1,1,0.999999642,0.999997079,0.999986909,0.999960309,0.999907084,0.99981831,0.999687959,0.972005114
0.084,1,1,0.999999603,0.999996632,0.999985192,0.999955796,0.999897755,0.999801937,0.999662481,0.971651373
0.085,1,1,0.999999523,0.999996126,0.999983308,0.999950904,0.999887725,0.999784544,0.999635587,0.971297371
0.086,1,1,0.999999404,0.999995529,0.999981233,0.999945595,0.999876995,0.999766073,0.999607248,0.970943096
0.087,1,0.99999994,0.999999324,0.999994904,0.999978943,0.999939848,0.999865513,0.999746491,0.99957741,0.970588555
0.088,1,0.99999994,0.999999205,0.999994188,0.999976439,0.999933642,0.999853261,0.999725768,0.999546073,0.970233748
0.089,1,0.99999994,0.999999086,0.999993413,0.99997372,0.999926979,0.999840205,0.99970386,0.999513181,0.96987867
0.09,1,0.99999994,0.999998927,0.999992519,0.999970762,0.999919798,0.99982631,0.999680764,0.999478695,0.969523327
0.091,1,0.99999994,0.999998768,0.999991565,0.999967517,0.999912099,0.99981156,0.999656406,0.999442611,0.969167708
0.092,1,0.99999994,0.999998569,0.999990492,0.999964034,0.999903862,0.999795902,0.9996308,0.999404875,0.968811823
0.093,1,0.999999881,0.999998331,0.9999893,0.999960241,0.999895047,0.999779335,0.999603869,0.99936546,0.968455664
0.094,1,0.999999881,0.999998093,0.999988018,0.999956137,0.999885634,0.999761809,0.999575614,0.999324351,0.968099233
0.095,1,0.999999881,0.999997814,0.999986587,0.999951699,0.999875602,0.999743306,0.999546002,0.999281505,0.967742534
0.096,1,0.999999821,0.999997497,0.999985037,0.999946951,0.999864913,0.999723791,0.999514989,0.999236921,0.967385557
